Especial||||APF|||||39|desenvolver| estudos e pesquisas e elaborar programas, projetos e normas, bem como, sugerir critérios sobre assuntos de natureza policial e de interesse do órgão;
Especial|1|||APF|||||38|desenvolver| estudos e pesquisa, sobre os métodos e técnicas do trabalho policial com vistas ao seu aperfeiçoamento, considerando os objetivos desejados;
Especial|1|2|3|APF|EPF|PPF|||24|operar| equipamentos de comunicações e zelar pela segurança e manutenção de todo o processo correspondente;
||2|3|APF|||||9|controlar, fiscalizar e autuar| empresas que trabalham com produtos químicos controlados pelo dpf;
|1|||APF|||||9|controlar, fiscalizar e autuar| empresas que trabalham com produtos químicos controlados pelo dpf, bem como, participar de planejamento de atividades relativas ao controle dessas atividades;
Especial|1|2|3|APF|EPF|PPF||||fiscalizar e autuar| empresas que trabalham com produtos químicos controlados pelo dpf, bem como, participar de planejamento de atividades relativas ao controle dessas atividades;
Especial|1|2|3|APF|||||18|conduzir| embarcações fluviais ou marítimas e pilotar aeronaves, em razão de missões policiais, observada a devida habilitação;
|||3|||PPF|||15|conduzir| embarcações fluviais e marítimas, e pilotar aeronaves em razão de missões policiais, observada a devida habilitação;
Especial|||||EPF||||3|gestão| do conhecimento nos crimes investigados nos procedimentos a que estiver vinculado;
Especial|1|2|3||EPF||||8|obter| diretamente  a prova documental e formalizar os procedimentos relacionados as investigações criminais;
Especial|1|2|3|APF|EPF|PPF|||29|canalizar| dados para os setores de produção de conhecimentos de informações e auxiliar na produção de conhecimentos pertinentes;
||2||||PPF|||13|analisar| dados estatísticos das atividades de identificação civil e criminal, e de polícia judiciária e administrativa da polícia federal;
||2|3||EPF||||25|participar| da segurança dos candidatos a presidência da república e de autoridade nacional ou estrangeira e daqueles que, na forma da lei, necessitem de proteção;
Especial||||APF|||||22|coordenar, planejar, orientar e participar| da execução das medidas de segurança orgânica, através de programas permanentes ou emergenciais, e zelar pelo seu cumprimento em todos os setores do órgão;
|1|||APF||||||planejar, orientar e participar| da execução das medidas de segurança orgânica, através de programas permanentes ou emergenciais, e zelar pelo seu cumprimento em todos os setores do órgão;
||2|3|APF||||||participar| da execução das medidas de segurança orgânica, através de programas permanentes ou emergenciais, e zelar pelo seu cumprimento em todos os setores do órgão;
|1|||||PPF|||11|participar| da elaboração e execução de programas e de atividades relacionadas com formação, treinamento e a especialização na área de identificação criminal e civil;
|1||3|APF|||||30|participar| da condução de procedimentos disciplinares como presidente ou membro;
Especial|1|2|3||EPF||||21|participar| da análise e proposição do aperfeiçoamento e adequação da legislação e normas pertinentes ao órgão, seu efetivo e suas atividades;
||2||||PPF|||5|orientar| o controle de qualidade da alimentação do sistema automatizado de identificação de digitais - afis, efetuando pesquisas de confronto de impressões papilares; 
||2||||PPF|||4|orientar| o controle de qualidade da alimentação do banco de dados do sistema nacional de informações criminais - sinic, efetuando consultas, expedindo folhas de antecedentes, boletins de distribuição e de decisão;
Especial||||APF|EPF|PPF|||26|coordenar, produzir e difundir| os conhecimentos de inteligência policial de cunho operacional e estratégico: informação policial, relatório de inteligência, apreciação e estimativa;
|1|2|3|APF||||||produzir e difundir| os conhecimentos de inteligência policial de cunho operacional e estratégico: informação policial, relatório de inteligência, apreciação e estimativa;
|||3|||PPF|||8|realizar| a confecção de representações faciais humanas - retrato falado, laudos prosopográficos e aplicação de disfarces;
Especial||||||PPF|||8|participar|, como presidente, de grupos de trabalho interministeriais que versem sobre o registro de identificação civil (ric);   
|1|2||||PPF|||8|participar|, como presidente ou membro, de procedimentos disciplinares; 
||2||||PPF|||9|participar|, como presidente ou membro, de grupos de trabalho interministeriais que versem sobre o registro de identificação civil (ric);
|||3|||PPF|||17|participar|, como membro, de procedimentos disciplinares;
|||3|||PPF|||16|participar|, como membro, de grupos de trabalho interministeriais que versem sobre o registro de identificação civil (ric);   
Especial|1|2|3||EPF||||11|expedir| certidões de antecedentes criminais,
Especial|||||EPF||||1|dirigir| o cartório, controle e guarda dos procedimentos policiais e de material apreendido;
|1|||||PPF|||9|ocupar| cargos de gerência das divisões e serviços constantes no organograma do instituto nacional de identificação;
||2||||PPF|||12|ocupar| cargos de gerência das diretorias e serviços vinculados à direção geral do instituto nacional de identificação;
Especial||||||PPF|||10|ocupar| os cargos de diretor do instituto nacional de identificação e das gerências das divisões e serviços a este relacionados;
||2||||PPF|||11|ocupar| cargos de chefia nos setores de identificação das superintendências e das delegacias descentralizadas;
|||3|||PPF|||21|ocupar| cargos de chefia nos setores de identificação das superintendências e das delegacias descentralizadas, quando não houver outro ppf de classe superior em sua lotação;
|1|2|3||EPF||||4|supervisionar| a cadeia de custódia de provas;
Especial||||APF|EPF|PPF|||15|coordenar, planejar, supervisionar e executar| as buscas de dados necessários ao plano de informações do departamento de polícia federal;
|1|||APF|EPF|||||planejar, supervisionar e executar| as buscas de dados necessários ao plano de informações do departamento de polícia federal;
||2||APF|EPF|||||supervisionar e executar| as buscas de dados necessários ao plano de informações do departamento de polícia federal;
|||3|APF|EPF|||||executar| as buscas de dados necessários ao plano de informações do departamento de polícia federal;
|||3|||PPF|||4|alimentar| o banco de dados do sistema nacional de informações criminais - sinic, efetuando consultas, expedindo folhas de antecedentes, boletins de distribuição e de decisão;
Especial|1|2|3|APF|||||13|investigar| atos ou fatos que caracterizem ou possam caracterizar infrações penais, observada a competência do dpf;
Especial|1|2||APF|EPF|PPF|||10|planejar, controlar, fiscalizar e autuar| as atividades relativas a segurança privada;
|||3|APF|EPF|PPF||||controlar, fiscalizar e autuar| as atividades relativas a segurança privada;
Especial||||APF|EPF|PPF|||46|coordenar, planejar e executar| atividades relativas a formação, capacitação e atualização no âmbito da academia nacional de polícia;
|1|2|||EPF|||||planejar e executar| atividades relativas a formação, capacitação e atualização no âmbito da academia nacional de polícia;
|||3||EPF|||||executar| atividades relativas a formação, capacitação e atualização no âmbito da academia nacional de polícia;
|1|||APF|||||32|coordenar e executar| atividades pertinentes ao desempenho do estabelecimento de ensino policial e auxiliares na gerência e administração dos meios e recursos do dpf;
Especial||||APF|||||14|coordenar, planejar, supervisionar, fiscalizar e executar| atividades operacionais necessárias à prevenção e repressão de infrações penais da competência do departamento de polícia federal;
|1|||APF||||||planejar, supervisionar, fiscalizar e executar| atividades operacionais necessárias à prevenção e repressão de infrações penais da competência do departamento de polícia federal;
||2||APF||||||supervisionar e executar| as atividades operacionais necessárias à prevenção e repressão de infrações penais da competência do departamento de polícia federal;
|||3|APF||||||executar| as atividades operacionais necessárias à prevenção e repressão de infrações penais da competência do departamento de polícia federal;
Especial|||||EPF||||5|coordenar, planejar e executar| as atividades necessárias ao desenvolvimento, aperfeiçoamento e alimentação dos sistemas de informação;
